id,description,sign,add_description,name
1,Стяжная муфта,SD,"K,F,S",FR10
2,Расширительный бак,VT,"C,K,F,S",FR20
3,Моментный кронштейн,T,"K,F,S",FR30
4,Блокиратор обратного хода,BL,"C,K,F,S",FR40
5,Датчик температуры масла,PT,"C,K,F,S",FR50
6,Нагреватель масла,H,"C,K,F,S",FR60
7,Глазок уровня масла,Gl,"C,K,F,S",FR70
8,Датчик уровня масла,OLL,"C,K,F,S",FR80
9,Датчик температуры подшипников,PTB,"C,K,F,S",FR90
10,Усиленный подшипник выходного вала,SB,C,FR100
11,Высокотемпературная манжета,HTS,"C,K,F,S",FR110
0,0,0,0,0
