id,name,m,n,p,s,f,flange_image_id,flange_imageB5_id,flange_imageB14_id
17,F95,95,75,110,7,3.000000000000000000000000000000,10,40,60
18,F100,100,80,120,7,4.000000000000000000000000000000,10,40,60
19,F115,115,95,140,10,4.000000000000000000000000000000,10,40,60
20,F130,130,110,160,10,4.000000000000000000000000000000,10,40,60
21,F165,165,130,200,12,4.000000000000000000000000000000,10,40,60
22,F215,215,180,250,15,5.000000000000000000000000000000,10,40,60
23,F265,265,230,300,15,5.000000000000000000000000000000,10,40,60
24,F300,300,250,350,19,6.000000000000000000000000000000,10,40,60
25,F350,350,300,400,19,6.000000000000000000000000000000,10,40,60
26,F400,400,350,450,19,6.000000000000000000000000000000,20,50,60
27,F500,500,450,550,19,7.000000000000000000000000000000,20,50,60
28,F600,600,550,660,24,7.000000000000000000000000000000,20,50,60
29,F740,740,680,800,24,0.000000000000000000000000000000,20,50,60
30,F840,840,780,900,28,0.000000000000000000000000000000,20,50,60
31,F940,940,880,1000,28,0.000000000000000000000000000000,20,50,60
32,F00,0,0,0,0,0.000000000000000000000000000000,30,30,30
16,F85,85,70,100,7,3.000000000000000000000000000000,10,40,60
