id,code_Adaper,motor_height_id,id_Type_Adapter,shaft_dimention_id,id_flange_name,Power,items,L,id_piture_adapter
10,AE2,0,20,40,F00,0.75,AE2,119,10
20,AE3,0,20,60,F00,3,AE3,175,10
30,AE4,0,20,80,F00,7.5,AE4,211,10
40,AE5,0,20,90,F00,15,AE5,266,10
50,AE6,0,20,100,F00,22,AE6,309,10
60,AE7,0,20,130,F00,45,AE7,297,10
70,AE8,0,20,560,F00,90,AE8,361,10
80,AP63,63,10,20,F63B5,0.18,AP63,61,20
90,AP71,71,10,30,F71B5,0.37,AP71,61,20
100,AP80,80,10,40,F80B5,0.75,AP80,76,20
110,AP90,90,10,50,F90B5,1.1,AP90,81,20
120,AP100,100,10,60,F100B5,3,AP100,191,20
130,AP112,112,10,70,F112B5,4,AP112,191,20
140,AP132,132,10,80,F132B5,7.5,AP132,210,20
150,AP160,160,10,90,F160B5,15,AP160,272,20
160,AP180,180,10,100,F180B5,22,AP180,272,20
170,AP200,200,10,110,F200B5,30,AP200,298,20
180,AP225,225,10,120,F225B5,45,AP225,325,20
190,AP250,250,10,140,F250B5,55,AP250,343,20
200,AP280,280,10,170,F280B5,90,AP280,343,20
240,AS70,70,30,0,F00,0,AS70,114,30
210,AS40,40,30,0,F00,0,AS40,65,30
220,AS55,55,30,0,F00,0,AS55,65,30
230,AS60,60,30,0,F00,0,AS60,114,30
250,AS80,80,30,0,F00,0,AS80,120,30
260,AS90,90,30,0,F00,0,AS90,125,30
270,AS100,100,30,0,F00,0,AS100,125,30
280,AS125,125,30,0,F00,0,AS125,135,30
290,AS140,140,30,0,F00,0,AS140,135,30
300,AS160,160,30,0,F00,0,AS160,190,30
310,AS180,180,30,0,F00,0,AS180,210,30
320,AS190,190,30,0,F00,0,AS190,210,30
330,AS240,240,30,0,F00,0,AS240,240,30
340,AS260,260,30,0,F00,0,AS260,260,30
350,AS315,315,30,0,F00,0,AS315,315,30
360,AS450,450,30,0,F00,0,AS450,0,30
